DGD|Dalgaranga|AU|-27.766667|117.033333
DVR|Daly River|AU|-13.750000|130.683333
DYW|Daly Waters|AU|-16.266667|133.366667
NLF|Darnley Island|AU|-9.566667|143.750000
DRW|Darwin|AU|-12.416667|130.866667
XJG|Darwin|AU|-33.100000|-57.633333
DAJ|Dauan Island|AU|-9.433333|142.516667
DVP|Davenport Downs|AU|-24.166667|141.083333
DDI|Daydream Is|AU|-20.166667|148.183333
DLV|Delissaville|AU|-12.416667|130.341667
DDN|Delta Downs|AU|-16.916667|141.300000
DNM|Denham|AU|-25.916667|113.533333
DNQ|Deniliquin|AU|-35.550000|144.950000
DRB|Derby|AU|-17.366667|123.650000
DPO|Devonport|AU|-41.166667|146.416667
DYM|Diamantina Lakes|AU|-23.866667|141.250000
DRN|Dirranbandi|AU|-28.500000|148.258333
DXD|Dixie|AU|-15.166667|143.666667
DKV|Docker River|AU|-24.866667|129.116667
DOX|Dongara|AU|-29.250000|114.933333
DMD|Doomadgee|AU|-18.000000|138.833333
DNG|Doongan|AU|13.662778|122.327500
DRD|Dorunda Station|AU|-16.516667|142.366667
DFP|Drumduff|AU|-16.000000|143.033333
DBO|Dubbo|AU|-32.217222|148.574722
DLK|Dulkaninna|AU|-29.016667|139.466667
DNB|Dunbar|AU|-16.083333|142.416667
DKI|Dunk Island|AU|-17.933333|146.166667
SRR|Stradbroke Island|AU|47.266667|10.783333
DHD|Durham Downs|AU|-27.066667|141.916667
DRR|Durrie|AU|-25.600000|140.250000
DYA|Dysart|AU|-22.533333|149.383333
ECH|Echuca|AU|-36.150000|144.750000
EDR|Edward River|AU|-14.900000|141.616667
EIH|Einasleigh|AU|-18.500000|144.100000
ELC|Elcho Island|AU|-12.016667|135.566667
EKD|Elkedra|AU|-21.033333|135.250000
EMD|Emerald|AU|-23.633333|148.133333
ENB|Eneabba West|AU|-30.083333|114.983333
EDD|Erldunda|AU|-25.250000|133.200000
ERB|Ernabella|AU|-26.266667|132.166667
EPR|Esperance|AU|-33.683333|121.816667
MEB|Melbourne|AU|-37.700000|144.866667
ETD|Etadunna|AU|-28.716667|138.633333
EUC|Eucla|AU|-31.716667|128.866667
EVD|Eva Downs|AU|-18.083333|134.866667
EVH|Evans Head|AU|-29.100000|153.416667
EXM|Exmouth Gulf|AU|-22.383333|114.116667
FLC|Falls Creek|AU|-34.983333|150.600000
FIK|Finke|AU|-25.583333|134.600000
FLY|Finley|AU|-35.650000|145.583333
FIZ|Fitzroy Crossing|AU|-18.166667|125.550000
FLS|Flinders Island|AU|-40.083333|148.000000
FVL|Flora Valley|AU|-18.333333|128.000000
FRB|Forbes|AU|-33.383333|148.016667
FOS|Forrest|AU|-30.838056|128.115000
WGA|Wagga Wagga|AU|-35.166667|147.466667
FVR|Forrest River|AU|-15.300000|128.066667
FOT|Forster|AU|32.183333|152.516667
FSL|Fossil Downs|AU|-18.200000|125.750000
OKB|Orchid Beach|AU|-25.000000|153.283333
GBP|Gamboola|AU|-16.550000|143.666667
GPN|Garden Point|AU|-11.400000|130.433333
GSC|Gascoyne Junction|AU|-25.050000|115.200000
GAH|Gayndah|AU|-25.616667|151.616667
GEX|Geelong|AU|-38.133333|144.350000
GTT|Georgetown|AU|-18.416667|143.783333
GET|Geraldton|AU|-28.783333|114.700000
GBV|Gibb River|AU|-16.333333|126.366667
GLT|Gladstone|AU|-23.800000|151.250000
GLI|Glen Innes|AU|-29.683333|151.700000
GLG|Glengyle|AU|-24.766667|139.583333
GLM|Glenormiston|AU|-22.283333|138.316667
OOL|Gold Coast|AU|-28.181111|153.500000
GLY|Goldsworthy|AU|-20.083333|119.666667
GOO|Goondiwindi|AU|-28.521389|150.320278
GDD|Gordon Downs|AU|-18.833333|128.533333
GOS|Gosford|AU|-33.433333|151.350000
GUL|Goulburn|AU|-33.833333|151.833333
GBL|Goulburn Island|AU|-11.666667|133.416667
GFN|Grafton|AU|-29.666667|153.000000
GTS|Granites|AU|-26.966667|133.616667
GKL|Great Keppel Island|AU|-23.183333|150.950000
GVP|Greenvale|AU|-15.783333|144.616667
GGD|Gregory Downs|AU|-18.700000|139.250000
GFE|Grenfell|AU|-33.900000|148.166667
GFF|Griffith|AU|-34.250000|146.066667
GUH|Gunnedah|AU|-30.950000|150.233333
GYP|Gympie|AU|-26.283333|152.700000
HCQ|Halls Creek|AU|-18.233333|127.666667
HLT|Hamilton|AU|-37.650000|142.066667
HTI|Hamilton Island|AU|-20.358056|148.951667
PBY|Peppers Palm Bay|AU|-35.500000|148.733333
HXX|Hay|AU|-34.516667|144.833333
HIS|Hayman Island|AU|-20.066667|148.866667
HIP|Headingly|AU|-21.316667|138.300000
HAT|Heathlands|AU|-19.720833|140.583333
HLV|Helenvale|AU|-15.683333|145.200000
JFM|Fremantle|AU|-32.043333|115.739444
HRN|Heron Island|AU|-23.433333|151.916667
HRY|Henbury|AU|-24.666667|133.083333
HMG|Hermannsburg|AU|-23.966667|132.666667
HVB|Hervey Bay|AU|-25.000000|153.000000
HIG|Highbury|AU|-16.433333|143.150000
HLL|Hillside|AU|-17.000000|128.008333
HNK|Hinchinbrook Island|AU|-18.383333|146.283333
HBA|Hobart|AU|-42.836111|147.510278
HIH|Hook Island|AU|-20.166667|148.950000
HOK|Hooker Creek|AU|-18.366667|130.666667
HPE|Hope Vale|AU|-14.666667|144.916667
HTU|Hopetoun|AU|-35.716667|142.350000
HID|Horn Island|AU|-10.536667|142.290000
HSM|Horsham|AU|-36.500000|141.841667
HGD|Hughenden|AU|-20.833333|144.200000
HUB|Humbert River|AU|-16.483333|130.633333
IFF|Iffley|AU|-18.916667|141.250000
IDK|Indulkana|AU|-26.966667|133.325000
IGH|Ingham|AU|-18.800000|146.100000
INJ|Injune|AU|-25.850000|148.550000
IKP|Inkerman|AU|-16.250000|141.500000
INM|Innamincka|AU|-27.833333|140.833333
IFL|Innisfail|AU|-17.566667|146.033333
IVR|Inverell|AU|-29.833333|151.533333
IVW|Inverway|AU|-17.766667|129.233333
ISI|Isisford|AU|-24.200000|144.416667
JAB|Jabiru|AU|-10.216667|132.566667
JAD|Perth|AU|-32.097500|115.881111
JCK|Julia Creek|AU|-20.583333|141.700000
JUN|Jundah|AU|-24.800000|143.033333
JUR|Jurien Bay|AUS|-30.269722|115.050000
KAX|Kalbarri|AU|-27.866667|114.133333
KGI|Kalgoorlie|AU|-30.789444|121.461667
WAV|Wave Hill|AU|-17.650000|130.883333
KFG|Kalkurung|AU|-17.433333|130.816667
KPP|Kalpowar|AU|-14.883333|144.216667
UBU|Kalumburu|AU|-14.416667|126.666667
KDS|Kamaran Downs|AU|-24.333333|139.166667
KDB|Kambalda|AU|-31.200000|121.666667
KML|Kamileroi|AU|-19.500000|140.083333
KTA|Karratha|AU|-20.716667|116.766667
KRB|Karumba|AU|-17.500000|140.866667
KNI|Katanning|AU|-33.700000|117.550000
KPS|Kempsey|AU|31.066667|152.766667
KRA|Kerang|AU|-35.750000|143.933333
KBD|Kimberley Downs|AU|-17.400000|124.366667
KNS|King Island|AU|-39.883056|143.883056
KGY|Kingaroy|AU|-26.580833|151.841111
KBJ|Kings Canyon|AU|-24.261389|131.490833
KCS|Kings Creek Station|AU|24.383333|131.683333
KGC|Kingscote|AU|-35.713889|137.521389
SYD|Sydney|AU|-33.946111|151.177222
KBB|Kirkimbie|AU|-17.766667|129.216667
KOH|Koolatah|AU|-15.966667|142.416667
KKP|Koolburra|AU|-15.583333|143.950000
KQB|Koonibba|AU|-31.966667|133.450000
KWM|Kowanyama|AU|-15.487778|141.760000
KUG|Kubin Island|AU|-10.250000|142.216667
KGR|Kulgera|AU|-25.833333|133.500000
KNX|Kununurra|AU|-15.833333|128.750000
KRD|Kurundi|AU|-20.500000|134.633333
TGN|Traralgon|AU|-38.183333|146.533333
LYT|Lady Elliot Island|AU|-24.116667|152.700000
LEL|Lake Evella|AU|-12.216667|136.250000
LGE|Lake Gregory|AU|-28.916667|139.000000
LNH|Lake Nash|AU|-21.000000|137.916667
LFP|Lakefield|AU|-14.916667|144.333333
LKD|Lakeland Downs|AU|-16.166667|145.500000
LDW|Lansdowne|AU|-17.583333|126.833333
LTB|Latrobe|AU|-41.233333|146.400000
LST|Launceston|AU|-41.546667|147.212778
LUU|Laura|AU|-15.666667|144.166667
LUT|Laura Station|AU|-15.433333|144.816667
LVO|Laverton|AU|-28.633333|122.366667
LWH|Lawn Hill|AU|-18.633333|138.633333
LEA|Learmonth|AU|-22.233333|114.100000
LGH|Leigh Creek|AU|-30.466667|138.416667
LER|Leinster|AU|-27.833333|120.616667
LNO|Leonora|AU|-28.883333|121.300000
LHG|Lightning Ridge|AU|-29.400000|147.966667
LLT|Lilydale|AU|-37.691667|145.366667
LIB|Limbunya|AU|-17.333333|129.833333
LLP|Linda Downs|AU|-23.016667|138.700000
LDC|Lindeman Island|AU|-20.450000|149.050000
LSY|Lismore|AU|-28.833333|153.266667
LLL|Lissadell|AU|-16.500000|128.666667
LZR|Lizard Island|AU|-14.666667|145.466667
LOC|Lock|AU|-33.566667|135.766667
IRG|Lockhart River|AU|-12.783333|143.300000
HAP|Long Island|AU|-19.166667|147.666667
LRE|Longreach|AU|-23.433333|144.266667
LDH|Lord Howe Island|AU|-31.516667|159.050000
LOA|Lorraine|AU|-19.083333|139.966667
LTV|Lotusvale|AU|-17.083333|141.366667
LTP|Lyndhurst|AU|-19.200000|144.383333
UBB|Mabuiag Island|AU|-9.950000|142.183333
MNW|Macdonald Downs|AU|-22.500000|135.166667
MKY|Mackay|AU|-21.166667|149.183333
MVH|Macksville|AU|-30.716667|152.916667
MHC|Macmahon Camp 4|AU|-15.116667|-73.750000
MIZ|Mainoru|AU|-14.300000|134.083333
MTL|Maitland|AU|-32.733333|151.550000
XMC|Mallacoota|AU|-37.600000|149.716667
MQA|Mandora|AU|-19.833333|120.833333
MNG|Maningrida|AU|-12.050000|134.216667
MJP|Manjimup|AU|-34.233333|116.150000
MFP|Manners Creek|AU|-22.100000|137.983333
